"Student","Generative.AI.assignment","Final.Project","Final.Grade","Group"
"",NA,"Manual Posting","","Treatment"
"",1,"35","(read only)","Treatment"
"101_a01_01",0.79,"34.4","B","Treatment"
"101_a01_02",1,"35","A+","Treatment"
"101_a01_03",0.88,"35","A","Treatment"
"101_a01_04",0.9,"34.7","A+","Treatment"
"101_a01_05",1,"35","A+","Treatment"
"101_a01_06",0.98,"35","A+","Treatment"
"",NA,"Manual Posting","","Control"
"    Points Possible",1,"35","(read only)","Control"
"101_c01_01",0.84,"30.3","A-","Control"
"101_c01_03",0.85,"35","A+","Control"
"101_c01_04",0,"31.6","B-","Control"
"101_c01_02",0,"31.5","A-","Control"
